Source,Target,Type,id,label,timeset,weight,duration
1538,1539,Undirected,0,,,9,260
1538,1545,Undirected,1,,,6,120
1538,1546,Undirected,2,,,17,660
1538,1548,Undirected,3,,,3,60
1538,1549,Undirected,4,,,2,40
1538,1618,Undirected,5,,,11,360
1538,1653,Undirected,6,,,14,420
1538,1670,Undirected,7,,,2,80
1538,1705,Undirected,8,,,13,480
1538,1730,Undirected,9,,,4,80
1538,1797,Undirected,10,,,7,160
1538,1815,Undirected,11,,,22,540
1538,1837,Undirected,12,,,5,200
1538,1851,Undirected,13,,,2,60
1538,1500,Undirected,14,,,7,160
1538,1503,Undirected,15,,,9,300
1538,1504,Undirected,16,,,7,160
1538,1519,Undirected,17,,,2,40
1538,1524,Undirected,18,,,8,300
1538,1525,Undirected,19,,,4,80
1538,1528,Undirected,20,,,12,260
1538,1532,Undirected,21,,,19,1240
1538,1533,Undirected,22,,,13,440
1539,1545,Undirected,23,,,12,1100
1539,1546,Undirected,24,,,4,160
1539,1548,Undirected,25,,,4,200
1539,1549,Undirected,26,,,4,120
1539,1551,Undirected,27,,,1,20
1539,1560,Undirected,28,,,2,40
1539,1563,Undirected,29,,,2,60
1539,1567,Undirected,30,,,6,120
1539,1579,Undirected,31,,,1,20
1539,1618,Undirected,32,,,5,140
1539,1653,Undirected,33,,,21,420
1539,1700,Undirected,34,,,1,20
1539,1705,Undirected,35,,,19,1340
1539,1730,Undirected,36,,,2,80
1539,1763,Undirected,37,,,1,60
1539,1767,Undirected,38,,,3,60
1539,1780,Undirected,39,,,1,20
1539,1797,Undirected,40,,,11,240
1539,1802,Undirected,41,,,5,100
1539,1815,Undirected,42,,,71,2400
1539,1821,Undirected,43,,,4,100
1539,1833,Undirected,44,,,1,20
1539,1835,Undirected,45,,,1,20
1539,1837,Undirected,46,,,15,620
1539,1847,Undirected,47,,,4,80
1539,1857,Undirected,48,,,4,120
1539,1885,Undirected,49,,,1,20
1539,1895,Undirected,50,,,5,180
1539,1431,Undirected,51,,,2,40
1539,1434,Undirected,52,,,4,100
1539,1437,Undirected,53,,,5,100
1539,1443,Undirected,54,,,1,20
1539,1493,Undirected,55,,,1,20
1539,1500,Undirected,56,,,20,840
1539,1503,Undirected,57,,,63,2260
1539,1504,Undirected,58,,,8,180
1539,1516,Undirected,59,,,1,20
1539,1519,Undirected,60,,,4,80
1539,1524,Undirected,61,,,19,840
1539,1525,Undirected,62,,,2,40
1539,1528,Undirected,63,,,9,180
1539,1532,Undirected,64,,,1,40
1539,1533,Undirected,65,,,25,680
1545,1546,Undirected,66,,,4,160
1545,1548,Undirected,67,,,4,120
1545,1549,Undirected,68,,,2,80
1545,1618,Undirected,69,,,1,20
1545,1653,Undirected,70,,,7,140
